,,2021-09-01 through 2022-09-01,,,,New maintainer requests,,,,,,,,,,,,,,,,,,,,,,,,
# Repo,Current Maintainer,PR Count,Issue Count,Cost,Current Maintainer Request,Request 1,Request 2,Request 3,Request 4,per-person,Claimed,Accounted For,wjwwood,ivanpauno,mjeronimo,sloretz,clalancette,tfoote,ahcorde,cottsay,nuclearsandwich,hidmic,gbiggs,adityapande-1995,audrow,scpeters,quarkytale,methylDragon,codebot,External
ros2/rclcpp,ivanpauno; jacobperron; wjwwood,198,137,100,ivanpauno,wjwwood,hidmic,,,33.33333333,100,100,33.33333333,33.33333333,,,,,,,,33.33333333,,,,,,,,
ros2/rclpy,sloretz; adityapande-1995; jacobperron,133,93,67,sloretz,,adityapande-1995,,,33.5,67,67,,,,33.5,,,,,,,,33.5,,,,,,
ros2/ros2,,38,144,54,clalancette,codebot,,,,27,54,54,,,,,27,,,,,,,,,,,,27,
ros2/rviz,jacobperron; mjeronimo,96,80,53,,ahcorde,,,,53,53,53,,,,,,,53,,,,,,,,,,,
ros2/ros2_documentation,,1000,103,50,clalancette,audrow,,,,25,50,50,,,,,25,,,,,,,,25,,,,,
ros2/launch,adityapande-1995; hidmic,93,66,47,,methylDragon,adityapande-1995,wjwwood,,15.66666667,47,47,15.66666667,,,,,,,,,,,15.66666667,,,,15.66666667,,
ros2/ros2cli,adityapande-1995; audrow; mjeronimo,74,53,38,audrow,gbiggs,,,,19,38,38,,,,,,,,,,,19,,19,,,,,
ros2/geometry2,clalancette; ahcorde,83,39,36,clalancette,ahcorde,,,,18,36,36,,,,,18,,18,,,,,,,,,,,
ros2/rosidl,hidmic; sloretz,78,36,34,sloretz; quarkytale,methylDragon,adityapande-1995,,,11.33333333,34,34,,,,11.33333333,,,,,,,,11.33333333,,,11.33333333,11.33333333,,
ros2/rmw_cyclonedds,ivanpauno; hidmic,67,42,33,ivanpauno,,,,,33,33,33,,33,,,,,,,,,,,,,,,,
ament/ament_lint,mjeronimo; methylDragon,61,39,30,mjeronimo,,,,,30,30,30,,,30,,,,,,,,,,,,,,,
ros2/rcl,ivanpauno; jacobperron; wjwwood,64,36,30,ivanpauno,wjwwood,audrow,,,10,30,30,10,10,,,,,,,,,,,10,,,,,
ros2/rmw_fastrtps,hidmic; mjeronimo,49,52,30,,gbiggs,sloretz,,,15,30,30,,,,15,,,,,,,15,,,,,,,
ros2/ci,nuclearsandwich; cottsay; clalancette,87,7,28,clalancette,cottsay,nuclearsandwich,,,9.333333333,28,28,,,,,9.333333333,,,9.333333333,9.333333333,,,,,,,,,
osrf/docker_images,sloretz,56,32,26,,audrow,,,,26,26,26,,,,,,,,,,,,,26,,,,,
ros2/launch_ros,adityapande-1995; jacobperron; hidmic,50,30,24,,methylDragon,adityapande-1995,,,12,24,24,,,,,,,,,,,,12,,,,12,,
ros2/ros_buildfarm_config,nuclearsandwich; cottsay,73,1,22,,cottsay,,,,22,22,22,,,,,,,,22,,,,,,,,,,
ros2/demos,audrow; mjeronimo,57,14,21,mjeronimo; audrow,,adityapande-1995,,,10.5,21,21,,,10.5,,,,,,,,,10.5,10.5,,,,,
ros-perception/image_common,,45,25,21,,methylDragon,quarkytale,,,10.5,21,21,,,,,,,,,,,,,,,10.5,10.5,,
ros2/ros1_bridge,gbiggs; quarkytale; methylDragon; sloretz,27,41,20,quarkytale; methylDragon,methylDragon,gbiggs,,,6.666666667,20,20,,,,,,,,,,,6.666666667,,,,6.666666667,6.666666667,,
ament/ament_cmake,mjeronimo; hidmic,44,21,19,mjeronimo,,,,,19,19,19,,,19,,,,,,,,,,,,,,,
ros-infrastructure/rep,clalancette,54,5,18,clalancette,audrow,,,,9,18,18,,,,,9,,,,,,,,9,,,,,
ros2/rcutils,clalancette; ahcorde,37,21,17,clalancette,ahcorde,wjwwood,,,5.666666667,17,17,5.666666667,,,,5.666666667,,5.666666667,,,,,,,,,,,
ros2/common_interfaces,gbiggs; tfoote,39,16,16,tfoote,,,,,16,16,16,,,,,,16,,,,,,,,,,,,
ros2/rosidl_python,sloretz; quarkytale,37,17,16,sloretz; quarkytale,,,,,16,16,16,,,,16,,,,,,,,,,,16,,,
ros/robot_state_publisher,clalancette; sloretz,15,21,11,clalancette,,,,,11,11,11,,,,,11,,,,,,,,,,,,,
ros2/rmw,ivanpauno; wjwwood,23,10,10,ivanpauno,methylDragon,wjwwood,,,3.333333333,10,10,3.333333333,3.333333333,,,,,,,,,,,,,,3.333333333,,
ros-visualization/rqt,quarkytale,6,27,10,quarkytale,,,,,10,10,10,,,,,,,,,,,,,,,10,,,
ros2/examples,sloretz; adityapande-1995,23,8,9,,ahcorde,adityapande-1995,,,4.5,9,9,,,,,,,4.5,,,,,4.5,,,,,,
ros2/message_filters,gbiggs; ethangao,16,14,9,,gbiggs,,,,9,9,9,,,,,,,,,,,9,,,,,,,
ros2/system_tests,adityapande-1995; sloretz,21,8,9,,methylDragon,,,,9,9,9,,,,,,,,,,,,,,,,9,,
ros-visualization/rqt_bag,mabelzhang; mjeronimo,18,13,9,mjeronimo,,,,,9,9,9,,,9,,,,,,,,,,,,,,,
ros/urdfdom,scpeters; clalancette; sloretz,19,7,8,clalancette,,,,,8,8,8,,,,,8,,,,,,,,,,,,,
ros/pluginlib,clalancette,18,5,7,clalancette,,,,,7,7,7,,,,,7,,,,,,,,,,,,,
ros-visualization/rqt_image_view,mabelzhang,12,11,7,,wjwwood,,,,7,7,7,7,,,,,,,,,,,,,,,,,
ros2/design,,16,4,6,,wjwwood,clalancette,,,3,6,6,3,,,,3,,,,,,,,,,,,,
ros2/rcl_interfaces,clalancette,12,8,6,,gbiggs,,,,6,6,6,,,,,,,,,,,6,,,,,,,
ros2/rcpputils,clalancette,16,5,6,,wjwwood,methylDragon,,,3,6,6,3,,,,,,,,,,,,,,,3,,
ros2/yaml_cpp_vendor,audrow,15,4,6,,cottsay,,,,6,6,6,,,,,,,,6,,,,,,,,,,
ros/class_loader,gbiggs; mjcarroll,16,4,6,,gbiggs,,,,6,6,6,,,,,,,,,,,6,,,,,,,
ros-visualization/qt_gui_core,dirk-thomas,10,10,6,,quarkytale,,,,6,6,6,,,,,,,,,,,,,,,6,,,
ros2/orocos_kdl_vendor,jacobperron,16,1,5,,cottsay,,,,5,5,5,,,,,,,,5,,,,,,,,,,
ros2/rmw_implementation,audrow; mjcarroll,15,2,5,wjwwood,,,,,5,5,5,5,,,,,,,,,,,,,,,,,
ros-infrastructure/rosdoc2,clalancette; wjwwood; tfoote,10,6,5,,tfoote,audrow,,,2.5,5,5,,,,,,2.5,,,,,,,2.5,,,,,
ros/joint_state_publisher,clalancette; sloretz,11,6,5,clalancette,,,,,5,5,5,,,,,5,,,,,,,,,,,,,
ros/kdl_parser,clalancette; sloretz,13,4,5,clalancette,,,,,5,5,5,,,,,5,,,,,,,,,,,,,
ros/ros_tutorials,audrow; mjeronimo,8,10,5,,ahcorde,,,,5,5,5,,,,,,,5,,,,,,,,,,,
ros-visualization/rqt_graph,mjeronimo; wjwwood,8,9,5,mjeronimo,,,,,5,5,5,,,5,,,,,,,,,,,,,,,
ros-visualization/rqt_reconfigure,quarkytale,9,7,5,quarkytale,,,,,5,5,5,,,,,,,,,,,,,,,5,,,
osrf/osrf_pycommon,,9,3,4,,wjwwood,,,,4,4,4,4,,,,,,,,,,,,,,,,,
ros2/buildfarm_perf_tests,cottsay,11,1,4,,cottsay,,,,4,4,4,,,,,,,,4,,,,,,,,,,
ros2/libyaml_vendor,audrow,8,4,4,,cottsay,,,,4,4,4,,,,,,,,4,,,,,,,,,,
ros2/rcl_logging,clalancette,11,3,4,clalancette,wjwwood,,,,2,4,4,2,,,,2,,,,,,,,,,,,,
ros2/realtime_support,clalancette,11,1,4,,methylDragon,,,,4,4,4,,,,,,,,,,,,,,,,4,,
ros2/rosidl_typesupport,clalancette; sloretz,12,3,4,sloretz,quarkytale,,,,2,4,4,,,,2,,,,,,,,,,,2,,,
ros2/rosidl_typesupport_fastrtps,sloretz,11,1,4,sloretz,,,,,4,4,4,,,,4,,,,,,,,,,,,,,
ros-infrastructure/rosindex,tfoote,7,7,4,,mjeronimo,,,,4,4,4,,,4,,,,,,,,,,,,,,,
ros/angles,tfoote,10,3,4,,gbiggs,,,,4,4,4,,,,,,,,,,,4,,,,,,,
ros/bond_core,mjcarroll,7,6,4,,gbiggs,,,,4,4,4,,,,,,,,,,,4,,,,,,,
ros/geometry_tutorials,ahcorde; audrow,4,8,4,,ahcorde,,,,4,4,4,,,,,,,4,,,,,,,,,,,
ros/resource_retriever,clalancette; sloretz,13,2,4,,gbiggs,,,,4,4,4,,,,,,,,,,,4,,,,,,,
ros-visualization/interactive_markers,quarkytale,9,5,4,quarkytale,,,,,4,4,4,,,,,,,,,,,,,,,4,,,
ros-visualization/python_qt_binding,sloretz,10,3,4,,sloretz,,,,4,4,4,,,,4,,,,,,,,,,,,,,
ros-visualization/rqt_plot,mabelzhang; cottsay; dorianscholz; austinhendrix,6,6,4,,methylDragon,,,,4,4,4,,,,,,,,,,,,,,,,4,,
ament/ament_index,audrow,5,4,3,,quarkytale,,,,3,3,3,,,,,,,,,,,,,,,3,,,
ros2/performance_test,,4,5,3,,cottsay,,,,3,3,3,,,,,,,,3,,,,,,,,,,
ros2/rmw_dds_common,ivanpauno; methylDragon,9,0,3,ivanpauno,,,,,3,3,3,,3,,,,,,,,,,,,,,,,
ros-perception/depthimage_to_laserscan,clalancette,3,7,3,clalancette,,,,,3,3,3,,,,,3,,,,,,,,,,,,,
ros-visualization/rqt_topic,audrow,7,3,3,,methylDragon,,,,3,3,3,,,,,,,,,,,,,,,,3,,
ament/ament_package,audrow,6,0,2,,quarkytale,,,,2,2,2,,,,,,,,,,,,,,,2,,,
ament/uncrustify_vendor,audrow,6,2,2,,cottsay,,,,2,2,2,,,,,,,,2,,,,,,,,,,
osrf/osrf_testing_tools_cpp,,6,1,2,,gbiggs,,,,2,2,2,,,,,,,,,,,2,,,,,,,
ros2/orocos_kinematics_dynamics,ivanpauno,7,0,2,,methylDragon,,,,2,2,2,,,,,,,,,,,,,,,,2,,
ros2/pybind11_vendor,methylDragon,7,1,2,,cottsay,,,,2,2,2,,,,,,,,2,,,,,,,,,,
ros2/python_cmake_module,sloretz,4,2,2,sloretz,,,,,2,2,2,,,,2,,,,,,,,,,,,,,
ros2/rosidl_runtime_py,sloretz,6,1,2,sloretz,,,,,2,2,2,,,,2,,,,,,,,,,,,,,
ros2/test_interface_files,audrow,6,0,2,,quarkytale,,,,2,2,2,,,,,,,,,,,,,,,2,,,
ros2/urdf,clalancette; sloretz,6,2,2,clalancette,ahcorde,,,,1,2,2,,,,,1,,1,,,,,,,,,,,
ros/filters,tfoote; jonbinney,5,1,2,,gbiggs,,,,2,2,2,,,,,,,,,,,2,,,,,,,
ros/ros_environment,nuclearsandwich,5,1,2,,nuclearsandwich,,,,2,2,2,,,,,,,,,2,,,,,,,,,
ros/urdfdom_headers,scpeters; clalancette; sloretz,5,1,2,clalancette,,,,,2,2,2,,,,,2,,,,,,,,,,,,,
ament/googletest,audrow,2,0,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ament/google_benchmark_vendor,audrow,4,0,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
osrf/multiarch-docker-image-generation,tfoote,1,1,1,,audrow,,,,1,1,1,,,,,,,,,,,,,1,,,,,
ignition/ignition_cmake2_vendor,,0,0,1,,cottsay,ahcorde,,,1,1,1,,,,,,,1,1,,,,,,,,,,
ignition/ignition_math6_vendor,,0,0,1,,cottsay,ahcorde,,,1,1,1,,,,,,,1,1,,,,,,,,,,
ros-planning/navigation_msgs,,0,0,1,,mjeronimo,,,,1,1,1,,,1,,,,,,,,,,,,,,,
ros2/Mimick,,1,1,1,,mjeronimo,,,,1,1,1,,,1,,,,,,,,,,,,,,,
ros2/ament_cmake_ros,methylDragon,4,1,1,methylDragon,,,,,1,1,1,,,,,,,,,,,,,,,,1,,
ros2/choco-packages,,1,2,1,,nuclearsandwich,,,,1,1,1,,,,,,,,,1,,,,,,,,,
ros2/console_bridge_vendor,ahcorde,4,1,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/eigen3_cmake_module,methylDragon,1,0,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/example_interfaces,mabelzhang,2,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros2/mimick_vendor,gbiggs,4,1,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/performance_test_fixture,ahcorde,4,1,1,,ahcorde,,,,1,1,1,,,,,,,1,,,,,,,,,,,
ros2/rmw_connext,ahcorde; mjcarroll,1,1,1,,methylDragon,,,,1,1,1,,,,,,,,,,,,,,,,1,,
ros2/ros2cli_common_extensions,methylDragon,1,0,1,,quarkytale,,,,1,1,1,,,,,,,,,,,,,,,1,,,
